date,state,district,pincode,demo_age_5_17,demo_age_17_
15-10-2025,Kerala,Kozhikode,673016,1,12
15-10-2025,Kerala,Kozhikode,673018,0,2
15-10-2025,Kerala,Kozhikode,673028,0,7
15-10-2025,Kerala,Kozhikode,673032,0,2
15-10-2025,Kerala,Kozhikode,673101,0,1
15-10-2025,Kerala,Kozhikode,673103,2,1
15-10-2025,Kerala,Kozhikode,673105,1,7
15-10-2025,Kerala,Kozhikode,673106,2,7
15-10-2025,Kerala,Kozhikode,673317,2,5
15-10-2025,Kerala,Kozhikode,673504,1,4
15-10-2025,Kerala,Kozhikode,673508,3,18
15-10-2025,Kerala,Kozhikode,673513,0,7
15-10-2025,Kerala,Kozhikode,673517,0,11
15-10-2025,Kerala,Kozhikode,673522,1,8
15-10-2025,Kerala,Kozhikode,673586,0,13
15-10-2025,Kerala,Kozhikode,673602,2,14
15-10-2025,Kerala,Kozhikode,673611,2,10
15-10-2025,Kerala,Kozhikode,673615,0,1
15-10-2025,Kerala,Kozhikode,673633,0,2
16-10-2025,Kerala,Kozhikode,673011,0,8
16-10-2025,Kerala,Kozhikode,673027,1,8
16-10-2025,Kerala,Kozhikode,673304,1,7
16-10-2025,Kerala,Kozhikode,673502,0,6
16-10-2025,Kerala,Kozhikode,673507,3,32
16-10-2025,Kerala,Kozhikode,673513,2,15
16-10-2025,Kerala,Kozhikode,673521,1,7
16-10-2025,Kerala,Kozhikode,673526,0,6
16-10-2025,Kerala,Kozhikode,673542,1,14
16-10-2025,Kerala,Kozhikode,673573,0,19
16-10-2025,Kerala,Kozhikode,673580,1,7
16-10-2025,Kerala,Kozhikode,673612,4,22
16-10-2025,Kerala,Kozhikode,673620,2,19
16-10-2025,Kerala,Kozhikode,673631,1,23
16-10-2025,Kerala,Kozhikode,673632,0,6
26-10-2025,Kerala,Kozhikode,673001,0,4
26-10-2025,Kerala,Kozhikode,673002,0,4
26-10-2025,Kerala,Kozhikode,673014,1,4
26-10-2025,Kerala,Kozhikode,673016,1,8
26-10-2025,Kerala,Kozhikode,673021,0,6
26-10-2025,Kerala,Kozhikode,673032,0,4
26-10-2025,Kerala,Kozhikode,673101,0,3
26-10-2025,Kerala,Kozhikode,673309,0,5
26-10-2025,Kerala,Kozhikode,673315,0,6
26-10-2025,Kerala,Kozhikode,673323,0,8
26-10-2025,Kerala,Kozhikode,673501,0,6
26-10-2025,Kerala,Kozhikode,673508,6,15
26-10-2025,Kerala,Kozhikode,673525,9,24
26-10-2025,Kerala,Kozhikode,673526,0,4
26-10-2025,Kerala,Kozhikode,673529,4,6
26-10-2025,Kerala,Kozhikode,673582,2,7
26-10-2025,Kerala,Kozhikode,673611,9,19
26-10-2025,Kerala,Kozhikode,673616,6,13
26-10-2025,Kerala,Kozhikode,673633,1,6
26-10-2025,Kerala,Kozhikode,673639,0,1
19-10-2025,Kerala,Kozhikode,673002,1,0
19-10-2025,Kerala,Kozhikode,673004,0,2
19-10-2025,Kerala,Kozhikode,673007,1,4
19-10-2025,Kerala,Kozhikode,673009,1,2
19-10-2025,Kerala,Kozhikode,673012,3,7
19-10-2025,Kerala,Kozhikode,673016,0,4
19-10-2025,Kerala,Kozhikode,673019,8,15
19-10-2025,Kerala,Kozhikode,673020,0,2
19-10-2025,Kerala,Kozhikode,673106,1,4
19-10-2025,Kerala,Kozhikode,673304,0,4
19-10-2025,Kerala,Kozhikode,673505,1,3
19-10-2025,Kerala,Kozhikode,673508,4,10
19-10-2025,Kerala,Kozhikode,673525,5,13
19-10-2025,Kerala,Kozhikode,673603,0,4
19-10-2025,Kerala,Kozhikode,673655,1,3
20-10-2025,Kerala,Kozhikode,673002,0,2
20-10-2025,Kerala,Kozhikode,673004,0,1
20-10-2025,Kerala,Kozhikode,673008,0,7
20-10-2025,Kerala,Kozhikode,673017,1,3
20-10-2025,Kerala,Kozhikode,673315,0,1
20-10-2025,Kerala,Kozhikode,673317,1,2
20-10-2025,Kerala,Kozhikode,673504,0,2
20-10-2025,Kerala,Kozhikode,673522,0,4
20-10-2025,Kerala,Kozhikode,673580,1,1
20-10-2025,Kerala,Kozhikode,673586,1,0
20-10-2025,Kerala,Kozhikode,673620,0,3
20-10-2025,Kerala,Kozhikode,673631,2,6
20-10-2025,Kerala,Kozhikode,673661,0,6
22-10-2025,Kerala,Kozhikode,673008,1,0
22-10-2025,Kerala,Kozhikode,673328,0,1
22-10-2025,Kerala,Kozhikode,673571,1,2
22-10-2025,Kerala,Kozhikode,673612,0,1
22-10-2025,Kerala,Kozhikode,673614,0,1
21-10-2025,Kerala,Kozhikode,673005,0,3
21-10-2025,Kerala,Kozhikode,673007,1,1
21-10-2025,Kerala,Kozhikode,673303,1,3
21-10-2025,Kerala,Kozhikode,673506,0,5
21-10-2025,Kerala,Kozhikode,673513,0,1
21-10-2025,Kerala,Kozhikode,673526,0,1
21-10-2025,Kerala,Kozhikode,673571,1,3
21-10-2025,Kerala,Kozhikode,673586,0,1
21-10-2025,Kerala,Kozhikode,673632,0,2
21-10-2025,Kerala,Kozhikode,673633,2,2
27-10-2025,Kerala,Kozhikode,673003,1,8
27-10-2025,Kerala,Kozhikode,673029,0,3
